iter	Passed	Remaining
0	153	95129
1	167	51698
2	180	36982
3	193	29775
4	209	25705
5	223	22804
6	236	20665
7	249	19037
8	261	17722
9	274	16725
10	288	15942
11	303	15345
12	316	14771
13	333	14394
14	348	14020
15	361	13608
16	372	13192
17	385	12864
18	397	12563
19	411	12316
20	426	12148
21	439	11914
22	451	11710
23	463	11493
24	474	11280
25	486	11096
26	499	10954
27	511	10802
28	524	10668
29	536	10530
30	549	10421
31	561	10302
32	573	10177
33	585	10072
34	599	9995
35	613	9928
36	626	9857
37	640	9790
38	652	9707
39	665	9629
40	679	9583
41	695	9551
42	710	9516
43	723	9452
44	737	9411
45	749	9340
46	760	9259
47	773	9196
48	785	9139
49	798	9086
50	811	9034
51	823	8977
52	836	8938
53	848	8874
54	858	8808
55	872	8768
56	885	8728
57	898	8686
58	910	8642
59	923	8605
60	936	8569
61	948	8521
62	959	8471
63	972	8434
64	983	8382
65	995	8337
66	1007	8302
67	1020	8267
68	1030	8214
69	1043	8183
70	1054	8140
71	1067	8110
72	1079	8072
73	1090	8034
74	1102	7993
75	1112	7951
76	1125	7920
77	1138	7895
78	1153	7881
79	1165	7852
80	1176	7814
81	1187	7778
82	1201	7757
83	1215	7738
84	1227	7708
85	1238	7678
86	1252	7660
87	1265	7634
88	1274	7591
89	1285	7557
90	1298	7533
91	1309	7501
92	1320	7469
93	1333	7448
94	1343	7410
95	1356	7390
96	1369	7371
97	1380	7340
98	1391	7307
99	1402	7280
100	1415	7258
101	1427	7234
102	1438	7204
103	1451	7185
104	1463	7163
105	1475	7140
106	1487	7116
107	1497	7087
108	1508	7059
109	1519	7029
110	1532	7013
111	1545	6995
112	1558	6980
113	1571	6962
114	1582	6933
115	1595	6917
116	1606	6894
117	1618	6870
118	1631	6854
119	1645	6844
120	1659	6830
121	1672	6812
122	1681	6782
123	1694	6763
124	1706	6744
125	1716	6715
126	1727	6691
127	1739	6674
128	1748	6640
129	1759	6620
130	1773	6605
131	1784	6582
132	1796	6562
133	1808	6544
134	1820	6527
135	1832	6509
136	1843	6484
137	1856	6469
138	1869	6454
139	1882	6440
140	1893	6419
141	1905	6401
142	1918	6386
143	1929	6365
144	1941	6346
145	1952	6324
146	1963	6303
147	1974	6283
148	1984	6261
149	1996	6242
150	2006	6220
151	2018	6200
152	2029	6181
153	2039	6156
154	2050	6138
155	2061	6118
156	2074	6103
157	2085	6086
158	2097	6069
159	2106	6043
160	2118	6025
161	2128	6003
162	2138	5982
163	2149	5962
164	2161	5946
165	2176	5938
166	2186	5919
167	2198	5901
168	2211	5889
169	2221	5868
170	2234	5853
171	2246	5837
172	2256	5818
173	2268	5801
174	2282	5791
175	2294	5775
176	2307	5761
177	2319	5746
178	2329	5725
179	2341	5711
180	2351	5690
181	2365	5678
